"site","ID","site_ID","quad","x","y","mark","Alive15","Alive16","Alive17","Alive18","Alive19","Alive20","Alive21","Alive22","Alive23","Alive24","Alive25","sur_15_16","sur_16_17","sur_17_18","sur_18_19","sur_19_20","sur_20_21","sur_21_22","sur_22_23","sur_23_24","sur_24_25","Alive15_tpry","Alive16_tpry","Alive17_tpry","Alive18_tpry","Alive19_tpry","Alive20_tpry","Alive21_tpry","Alive22_tpry","Alive23_tpry","Alive24_tpry","Alive25_tpry","sur_15_16_tpry","sur_16_17_tpry","sur_17_18_tpry","sur_18_19_tpry","sur_19_20_tpry","sur_20_21_tpry","sur_21_22_tpry","sur_22_23_tpry","sur_23_24_tpry","sur_24_25_tpry","X","Date_Marked2015","N15","L15","size15","CT15","FR15","DT15","Notes15","Comm15","libsur15_16","consur15_16","Total.leaves.including.brown.ones2015","N.DEAD15","date16","N16","L16","size16","CT16","FR16","DT16","Notes16","Comm16","libsur16_17","consur16_17","date17","N17","L17","size17","CT17","FR17","DT17","Notes17","Comm17","libsur17_18","consur17_18","N18","L18","size18","FR18","Notes18","Comm18","include.in.19.census","N19","L19","FR19","Notes19","Comm19","size19","N20","L20","FR20","FLW20","Notes20","Comm20","size20","N21","L21","FR21","FLW21","Notes21","Comm21","size21","N22","L22","FR22","FLW22","Notes22","Comm22","Measurer22","size22","N23","L23","FR23","FLW23","Notes23","Comm23","Measurer23","size23","N24","L24","FR24","FLW24","Note24","Comm24","size24","N25","L25","FR25","FLW25","Note25","Comm25","size25"
"B2","188","B2_188","2","18","16","gh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"349",NA,"6","17","102","0","4",NA,NA,"3 brown traps","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead16?","burnt; PresAlive16","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"forgot to look for; PresAlive17","1",NA,NA,NA,NA,NA,"dead16?","PresAlive18","Y","3","32","6",NA,NA,"96","6","44","9","11",NA,NA,"264","10","27",NA,"5",NA,"inf broken","270","0",NA,NA,NA,NA,"sen burn, plot burned","as","0","20","36",NA,NA,NA,NA,"gage","720","1","36",NA,NA,NA,NA,"36","8","38","","","","","304"
"B2","189","B2_189","2","19","13","ys",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"350",NA,"5","16","80","0","0",NA,NA,"4 brown traps","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead16?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forgot to look for",NA,NA,NA,NA,NA,NA,"dead16?",NA,"Y",NA,NA,NA,"dead16",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","190","B2_190","2","19","15","rh",1,1,1,1,"1","1","1","1","1","0","",1,1,1,1,1,1,1,1,0,NA,1,1,1,1,"1","1","1","1","1","0","",1,1,1,1,1,1,1,1,0,NA,"351",NA,"3","30","90","0","9",NA,NA,"1 rotted trap","1","1",NA,NA,NA,"2","30","60","0","0","0",NA,"burnt, sprout",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forgot to look for",NA,NA,NA,NA,NA,NA,NA,NA,"Y","4","50","7",NA,"qns25-50","200","8","31","9","9",NA,"qns25-50","248","7","16",NA,NA,NA,"qns25-50","112","3","19",NA,NA,"bew unm pl U","inf burned, qns25-50","as","57","7","34","0","9","bew unm pl above","inf imm, qns25-50","gage","238",NA,NA,NA,NA,"!unm pl U; mpd24","qns25-50",NA,"0","","","","!unm pl U; mpd24","m25","0"
"B2","249","B2_249","3","5","26","gh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"352",NA,"4","50","200","0","0",NA,NA,"1 burnt trap","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead16?","No plant","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"forgot to look for","1","1","6, 6","22, 20","252","0","2ros","discont quad1,2 QNS","Y","7, 13","19, 20",NA,"2ros",NA,"780","8, 7, 8","36, 36, 42","0","0","3ros","qns25-50","2622","5,6,5","55, 33, 47","3","9","3ros","inf herb, 2inf, qns25-50","2160",NA,NA,NA,NA,"mpd22","PresAlive22","as","0","3","87",NA,NA,NA,"qns25-50","gage","261","6","96",NA,NA,NA,"ngr; qns25-50","576","3","49","","","","qns25-50","147"
"B2","250","B2_250","4","11","23","wh",1,1,1,1,"1","1","1","1","1","0","",1,1,1,1,1,1,1,1,0,NA,1,1,1,1,"1","1","1","1","1","0","",1,1,1,1,1,1,1,1,0,NA,"353",NA,"7","31","217","1","0",NA,NA,"2 burnt traps","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead16?","burnt","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"forgot to look for","1","1","8","58","464","0",NA,"at B2 in genl, qs y=25-50","Y","3","29",NA,NA,NA,"87","5","58","0","0",NA,NA,"290","7","16",NA,NA,NA,NA,"112","1","13",NA,NA,NA,NA,"as","13","5","24",NA,NA,NA,NA,"gage","120",NA,NA,NA,NA,"mpd24",NA,NA,"0","","","","mpd24","","0"
"B2","251","B2_251","4","16","26","oh",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"354",NA,"8","18","144","2","0",NA,NA,"1 burnt trap","1","1",NA,NA,NA,"2","10","20","0","0","0",NA,"burnt, sprout","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"forgot to look for","1","1","4","25","100","0",NA,NA,"Y","1","10","4",NA,NA,"10","10","45","0","0",NA,NA,"450","2","46","0","0",NA,"inf herb","92","5","56",NA,NA,NA,NA,"as","280","10","67",NA,NA,NA,NA,"gage","670","7","63",NA,NA,NA,NA,"441","3","45","","","","","135"
"B2","252","B2_252","4","17","25","bd",1,1,1,1,"1","1","1","1","1","0","",1,1,1,1,1,1,1,1,0,NA,1,1,1,1,"1","1","1","1","1","0","",1,1,1,1,1,1,1,1,0,NA,"355",NA,"3","23","69","0","8",NA,NA,"2 burnt traps","1","1",NA,NA,NA,"2","10","20","0","0","0",NA,"burnt, sprout","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"forgot to look for","1","1","4","28","112","0",NA,NA,"Y","7","25",NA,NA,"inf herb","175","3","28","8","11",NA,NA,"84","5","36",NA,NA,NA,NA,"180","4","37",NA,NA,NA,"inf herb","as","148","0",NA,NA,NA,NA,"sen","gage","0",NA,NA,NA,NA,"dead24",NA,NA,"0","","","","dead24","","0"
"B2","253","B2_253","4","18","25","yp",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"356",NA,"2","28","56","0","7",NA,NA,"1 burnt trap","1","1",NA,NA,NA,"2","4","8","0","0","0",NA,"burnt, sprout","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"forgot to look for","1","1","6","22","132","0",NA,NA,"Y","4","14",NA,NA,NA,"56","11","48","0","0","bew unm pl below",NA,"528","5","43",NA,NA,"bew unm pl below","herb","215","4","41",NA,"4","bew unm pl D","inf imm","as","164","4","73",NA,NA,"bew unm pl below",NA,"gage","292","8","47",NA,NA,"!unm pl D",NA,"376","3","60","","","!unm pl D","","180"
"B2","254","B2_254","4","39","24","wd",1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"357",NA,"0","0",NA,"0","9",NA,"Dead15?","but fruited","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead16?","No plant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"forgot to look for",NA,NA,NA,NA,NA,NA,"dead18",NA,"Y",NA,NA,NA,"dead18",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","255","B2_255","4","40","23","rd",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"358",NA,"6","20","120","0","0",NA,NA,"2 burnt traps","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead16","burnt; PresAlive16","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"forgot to look for; PresAlive17","1",NA,NA,NA,NA,NA,"dead18","PresAlive18","Y","12, 6","21, 28",NA,"2ros",NA,"882","8, 6","39, 46","0","0","2ros",NA,"1190","3,5","27, 31",NA,NA,"2ros",NA,"464","4","56",NA,NA,NA,NA,"as","224","5","84",NA,NA,NA,NA,"gage","420","3","99",NA,NA,NA,NA,"297","6","50","","","","","300"
"B2","256","B2_256","4","40","25","op",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,"359",NA,"7","13","91","1",NA,NA,NA,"1 burnt trap","1","1",NA,NA,NA,"2","7","14","0","0","0",NA,"burnt, sprout","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"forgot to look for","1","1","9","33","297","0",NA,NA,"Y","8","55",NA,NA,NA,"440","5","35","0","0",NA,NA,"175","6","59",NA,NA,NA,NA,"354","5","58",NA,NA,NA,NA,"as","290","8","50",NA,NA,NA,"qns25-50","gage","400","3","58",NA,NA,NA,"tp was oh; qns25-50","174","3",NA,"","","","qns25-50",NA
"B2","257","B2_257","4","41","25","gh",1,1,1,1,"1","1","0",NA,NA,NA,NA,1,1,1,1,1,0,NA,NA,NA,NA,1,1,1,1,"1","1","0",NA,NA,NA,NA,1,1,1,1,1,0,NA,NA,NA,NA,"360",NA,"3","10","30","0","0",NA,NA,"2 burnt traps","1","1",NA,NA,NA,"1","8","8","0","0","0",NA,"burnt, sprout","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"forgot to look for","1","1","8, 9","23, 21","373","0","2ros","qs25-50 no new 18","Y","4, 7","19, 25",NA,"2ros","qns25-50","484","7, 7","65, 65","0","0","2ros","qns25-50","1820",NA,NA,NA,NA,"2ros, mpd21","qns25-50","0",NA,NA,NA,NA,"mpd21","qns25-50","as","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","265","B2_265","5","2","7","oh",NA,NA,1,1,"1","0",NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,"1","0",NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,"361",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","27","135","1","0","0",NA,"new17","1","1","3","85","255","0",NA,NA,"Y","2","83",NA,NA,NA,"166",NA,NA,NA,NA,"mpd20",NA,"0",NA,NA,NA,NA,"mpd20",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","297","B2_297","5","4","2","wh",1,1,1,1,"1","0",NA,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,1,1,1,1,"1","0",NA,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,"362",NA,"9","65","585","0","0",NA,NA,"wasp in trap; 1 brown trap","1","1",NA,NA,NA,"2","23","46","0","0","0",NA,NA,"1","1",NA,"3","21","63","0","0","2",NA,NA,"1","1","5","51","255","0",NA,NA,"Y","4","80",NA,NA,NA,"320",NA,NA,NA,NA,"mpd20",NA,"0",NA,NA,NA,NA,"mpd20",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","298","B2_298","5","4","4","gp",NA,1,1,1,"0",NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,"0",NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,"363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","22","22","0","0","0",NA,"burnt, resprouting","1","1",NA,"4","24","96","1","0","2",NA,NA,"1","1","7","45","315","0",NA,NA,"Y",NA,NA,NA,"dead19?",NA,"0",NA,NA,NA,NA,"dead19",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","318","B2_318","5","5","40","bh",1,1,1,1,"1","1","0",NA,NA,NA,NA,1,1,1,1,1,0,NA,NA,NA,NA,1,1,1,1,"1","1","0",NA,NA,NA,NA,1,1,1,1,1,0,NA,NA,NA,NA,"364",NA,"6","25","150","0","7",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead16?","burnt; no plant","1","1",NA,NA,NA,NA,NA,NA,NA,NA,"covered in spagnum","1","1","1","66","66","0",NA,NA,"Y","3","75",NA,NA,NA,"225","3","32","0","0",NA,NA,"96",NA,NA,NA,NA,"mpd21",NA,"0",NA,NA,NA,NA,"mpd21",NA,"as","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","18.1.","B2_18.1.","5","14","28","oh",NA,NA,NA,1,"1","1","1","0",NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,1,"1","1","1","0",NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,"365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","41","123","0",NA,"missed","Y","4","59",NA,NA,NA,"236","4","47","0","0",NA,NA,"188","5","93",NA,NA,NA,NA,"465",NA,NA,NA,NA,"mpd22",NA,"as","0",NA,NA,NA,NA,"disc pl, mismapped",NA,"aml","0",NA,NA,NA,NA,"disc pl, mismapped",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","258","B2_258","5","14","31","bp",NA,NA,1,1,"1","1","1","0",NA,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,1,1,"1","1","1","0",NA,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,"366",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","21","105","1","0","0",NA,"new17","1","1","3","52","156","0",NA,NA,"Y","4","62",NA,NA,NA,"248","2","76","0","0",NA,NA,"152","3","42",NA,NA,NA,NA,"126",NA,NA,NA,NA,"mpd22",NA,"as","0",NA,NA,NA,NA,"disc pl, mismapped",NA,"aml","0",NA,NA,NA,NA,"disc pl, mismapped",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","259","B2_259","5","16","26","gd",1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,"367",NA,"8","13","104","2","0",NA,NA,"2 brown traps","1","1",NA,NA,NA,"4","15","60","0","0","3",NA,"burnt fruiting stalk, 1 burnt leaf","1","1",NA,"1","32","32","0","0","0",NA,"under moss","0","0",NA,NA,NA,NA,"mpd18",NA,"Y",NA,NA,NA,"mpd18",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","260","B2_260","5","17","26","rh",1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,"368",NA,"3","17","51","1","6",NA,NA,NA,"1","1",NA,NA,NA,"8","23","184","1","0","3",NA,"3 burnt leaves","1","1",NA,"2","41","82","1","0","0",NA,"dead ant in trap","0","0",NA,NA,NA,NA,"dead18",NA,"Y",NA,NA,NA,"dead18",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","261","B2_261","5","18","28","yh",1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,"369",NA,"5","14","70","1","7",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead16?","burnt; no plant","1","1",NA,"4","32","128","1","0","0",NA,"under spagnum","0","0",NA,NA,NA,NA,"dead18",NA,"Y",NA,NA,NA,"dead18",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","262","B2_262","5","19","27","oh",1,1,1,1,"1","0",NA,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,1,1,1,1,"1","0",NA,NA,NA,NA,NA,1,1,1,1,0,NA,NA,NA,NA,NA,"370",NA,"9","10","90","2","0",NA,NA,NA,"1","1",NA,NA,NA,"12","29","348","2","0","6",NA,NA,"1","1",NA,"5","29","145","1","0","0",NA,NA,"1","1","4","47","188","0",NA,NA,"Y","6","81",NA,NA,NA,"486",NA,NA,NA,NA,"mpd20",NA,"0",NA,NA,NA,NA,"dead20",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","263","B2_263","5","19","28","wh",1,1,1,1,"1","1","1","0",NA,NA,NA,1,1,1,1,1,1,0,NA,NA,NA,1,1,1,1,"1","1","1","0",NA,NA,NA,1,1,1,1,1,1,0,NA,NA,NA,"371",NA,"7","18","126","2","0",NA,NA,NA,"1","1",NA,NA,NA,"8","33","264","0","0","1",NA,"2 burnt leaves","1","1",NA,"4","33","132","0","7","0",NA,NA,"1","1","12","35","420","0",NA,NA,"Y","2","71",NA,NA,NA,"142","4","75","0","0",NA,NA,"300","4","116",NA,"8",NA,"inf imm","464",NA,NA,NA,NA,"mpd22",NA,"as","0",NA,NA,NA,NA,"disc pl, mismapped",NA,"aml","0",NA,NA,NA,NA,"disc pl, mismapped",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","264","B2_264","5","19","30","gh",1,1,1,1,"1","1","1","0",NA,NA,NA,1,1,1,1,1,1,0,NA,NA,NA,1,1,1,1,"1","1","1","0",NA,NA,NA,1,1,1,1,1,1,0,NA,NA,NA,"372",NA,"6","16","96","1","0",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"dead16?","burnt; no plant","1","1",NA,"5","13","65","2","0","1",NA,NA,"1","1","2","24","48","0",NA,NA,"Y","1","62",NA,NA,NA,"62","2","54","0","0",NA,NA,"108","1","73",NA,NA,NA,NA,"73",NA,NA,NA,NA,"mpd22",NA,"as","0",NA,NA,NA,NA,"disc pl, mismapped",NA,"aml","0",NA,NA,NA,NA,"disc pl, mismapped",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","266","B2_266","5","20","31","oh",1,1,1,1,"1","1","1","0",NA,NA,NA,1,1,1,1,1,1,0,NA,NA,NA,1,1,1,1,"1","1","1","0",NA,NA,NA,1,1,1,1,1,1,0,NA,NA,NA,"373",NA,"3","5","15","0","0",NA,NA,"1 brown trap","1","1",NA,NA,NA,"2","10","20","0","0","0",NA,"burnt, resprouting","1","1",NA,"7","26","182","3","0","0",NA,NA,"1","1","6","52","312","6",NA,NA,"Y","2","57",NA,NA,"inf herb","114","3","64","8","9",NA,"was inf imm- recounted on 7/8","192","1","24","2","5",NA,"inf imm","24",NA,NA,NA,NA,"mpd22",NA,"as","0",NA,NA,NA,NA,"disc pl, mismapped",NA,"aml","0",NA,NA,NA,NA,"disc pl, mismapped",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","267","B2_267","5","21","23","bh",1,1,1,1,"1","1","0",NA,NA,NA,NA,1,1,1,1,1,0,NA,NA,NA,NA,1,1,1,1,"1","1","0",NA,NA,NA,NA,1,1,1,1,1,0,NA,NA,NA,NA,"374",NA,"7","8","56","1","0",NA,NA,NA,"1","1",NA,NA,NA,"7","5","35","0","0","1",NA,"6 burnt leaves","1","1",NA,"3","27","81","2","0","0",NA,NA,"1","1","2","41","82","0",NA,NA,"Y","6","63","5",NA,NA,"378","2","36","0","0",NA,NA,"72",NA,NA,NA,NA,"dead21",NA,"0",NA,NA,NA,NA,"dead21",NA,"as","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","268","B2_268","5","21","28","bp",1,1,1,1,"1","1","1","0",NA,NA,NA,1,1,1,1,1,1,0,NA,NA,NA,1,1,1,1,"1","1","1","0",NA,NA,NA,1,1,1,1,1,1,0,NA,NA,NA,"375",NA,"8","10","80","2","7",NA,NA,NA,"1","1",NA,NA,NA,"8","25","200","3","0","0",NA,"2 burnt leaves","1","1",NA,"5","23","115","2","0","0",NA,NA,"1","1","11","26","286","0",NA,"2ros?","Y","5","57","2",NA,NA,"285","8","50","0","0",NA,NA,"400","4","87",NA,NA,NA,NA,"348",NA,NA,NA,NA,"dead22",NA,"as","0",NA,NA,NA,NA,"disc pl, mismapped",NA,"aml","0",NA,NA,NA,NA,"disc pl, mismapped",NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","269","B2_269","5","22","23","gh",1,1,1,1,"0",NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,1,1,1,1,"0",NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,"376",NA,"9","10","90","2","0",NA,NA,NA,"1","1",NA,NA,NA,"7","15","105","0","0","2",NA,"2 burnt leaves","1","1",NA,NA,NA,NA,NA,NA,NA,"tp under moss","tp under moss","1","1","3","23","69","0","tp under moss","not dead","Y",NA,NA,NA,"dead19?",NA,"0",NA,NA,NA,NA,"dead19",NA,"0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","270","B2_270","5","22","28","yp",1,1,1,1,"1","1","1",NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,"1","1","1",NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,"377",NA,"9","10","90","3","0",NA,NA,NA,"1","1",NA,NA,NA,"2","19","38","0","0","0",NA,"burnt, 1 resprout","1","1",NA,"7","32","224","2","0","0",NA,NA,"1","1","3","25","75","0","pt of bh at 21,23?",NA,"Y",NA,NA,NA,"pt of bh at 21,23? Dead19?",NA,"0","8","51","0","0","pt of bh at 21,23?",NA,"408",NA,NA,NA,NA,"pt of bh at 21,23? Mpd21",NA,"0",NA,NA,NA,NA,"dead21",NA,"as","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","271","B2_271","5","22","32","rp",1,1,1,1,"1","1","1","1","1","1","1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,"1","1","1","1","1","1","0",1,1,1,1,1,1,1,1,1,0,"378",NA,"8","14","112","2","0",NA,NA,NA,"1","1",NA,NA,NA,"3","17","51","0","0","0",NA,"burnt fruiting stalk","1","1",NA,"3","17","51","1","0","0",NA,NA,"1","1","7","32","224","0",NA,NA,"Y","1","9",NA,NA,NA,"9","7","32","0","0",NA,NA,"224","6","61",NA,NA,NA,NA,"366","4","37",NA,NA,NA,NA,"as","148",NA,NA,NA,NA,NA,NA,"aml","0",NA,NA,NA,NA,NA,"no data 24",NA,"0","","","","","m25","0"
"B2","272","B2_272","5","22","40","gp",NA,NA,1,1,"1","1","0",NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,NA,NA,1,1,"1","1","0",NA,NA,NA,NA,NA,NA,1,1,1,0,NA,NA,NA,NA,"379",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","9","108","3","0","1","under moss","new17","1","1","6","61","366","0","under moss",NA,"Y","4, 8","71, 60",NA,"under moss, 2ros",NA,"1572","6","67","0","0","under moss","was 2ros","402",NA,NA,NA,NA,"dead21",NA,"0",NA,NA,NA,NA,"dead21",NA,"as","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B2","273","B2_273","5","25","21","oh",1,1,1,1,"1","1","1","1","0",NA,NA,1,1,1,1,1,1,1,0,NA,NA,1,1,1,1,"1","1","1","1","0",NA,NA,1,1,1,1,1,1,1,0,NA,NA,"380",NA,"6","18","108","2","8",NA,NA,NA,"1","1",NA,NA,NA,"6","14","84","0","0","1",NA,"burnt, 1 leaf not burnt","1","1",NA,"7","17","119","2","0","0",NA,NA,"1","0",NA,NA,NA,NA,NA,"missing18; PresAlive18","Y","6","66",NA,NA,NA,"396","5","61","0","0",NA,NA,"305","3","122","9","11",NA,"inf imm","366","2","51",NA,NA,NA,NA,"as","102",NA,NA,NA,NA,"mpd23",NA,"aml","0",NA,NA,NA,NA,"mpd23",NA,NA,NA,NA,NA,NA,NA,NA,NA
