x,y,mark,site_ID,site,ID,quad,Date_Marked2015,N15,L15,size15,CT15,FR15,DT15,Notes15,Comm15,libsur15_16,consur15_16,Total.leaves.including.brown.ones2015,N.DEAD15,date16,N16,L16,size16,CT16,FR16,DT16,Notes16,Comm16,libsur16_17,consur16_17,date17,N17,L17,size17,CT17,FR17,DT17,Notes17,Comm17,libsur17_18,consur17_18,N18,L18,size18,FR18,Notes18,Comm18,include.in.19.census,N19,L19,FR19,Notes19,Comm19,libsur18_19,size19,N20,L20,FR20,FLW20,Notes20,Comm20,libsur19_20,size20,N21,L21,FR21,FLW21,Notes21,Comm21,libsur20_21,size21,N22,L22,FR22,FLW22,Notes22,Comm22,Measurer22,libsur21_22,size22,N23,L23,FR23,FLW23,Notes23,Comm23,Measurer23,libsur22_23,size23,N24,L24,FR24,FLW24,Note24,Comm24,libsur23_24,size24
14,28,yd,CM_18.44.,CM,18.44.,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,48,1,0,0,NA,new16,1,1,2-Jun,6,7,42,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,28,wc,CM_382,CM,382,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Jun,3,12,36,1,0,0,NA,new17,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,28,yd,CM_18.45.,CM,18.45.,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Jun,3,12,36,1,0,0,NA,new17,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,50,yc,CM_383,CM,383,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,12,0,0,0,NA,new16,1,1,2-Jun,5,7,35,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,28,yd,CM_384,CM,384,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,15,105,3,0,1,NA,new16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,forgot to look for,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,3,rh,CM_108,CM,108,3,2-Jun,7,13,91,4,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,could not find after fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,11,rd,CM_135,CM,135,3,2-Jun,2,2,4,0,0,2,NA,NA,1,1,NA,NA,21-Jun,5,4,20,1,0,0,NA,NA,1,1,2-Jun,2,10,20,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,40,gs,CM_119,CM,119,3,2-Jun,3,7,21,3,0,0,NA,NA,1,1,NA,NA,21-Jun,6,8,48,0,0,0,NA,NA,1,1,2-Jun,6,8,48,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,3,gc,CM_109,CM,109,3,2-Jun,10,11,110,5,0,1,NA,NA,1,1,NA,NA,21-Jun,6,26,156,2,0,0,NA,NA,1,1,2-Jun,8,16,128,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,35,rd,CM_118,CM,118,3,2-Jun,6,7,42,4,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,could not find after fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,30,rh,CM_121,CM,121,3,2-Jun,6,9,54,4,0,2,NA,NA,1,1,NA,NA,21-Jun,6,10,60,1,0,0,NA,NA,1,1,2-Jun,6,10,60,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,8,rc,CM_103,CM,103,3,2-Jun,6,28,168,1,0,2,NA,NA,1,1,NA,NA,21-Jun,6,20,120,1,0,2,NA,NA,1,1,2-Jun,11,7,77,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,50,wh,CM_385,CM,385,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,45,225,2,0,0,NA,new16,1,1,2-Jun,7,54,378,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,20,os,CM_386,CM,386,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,30,2,0,1,NA,new16,1,1,2-Jun,5,5,25,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,4,oh,CM_127,CM,127,3,2-Jun,6,9,54,1,0,2,NA,NA,1,1,NA,NA,21-Jun,4,16,64,0,0,0,NA,NA,1,1,2-Jun,2,14,28,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2,bd,CM_125,CM,125,3,2-Jun,8,5,40,7,0,1,NA,NA,1,1,NA,NA,21-Jun,10,7,70,1,0,0,NA,NA,1,1,2-Jun,7,9,63,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,13,ys,CM_102,CM,102,3,2-Jun,4,53,212,1,0,1,NA,NA,1,1,NA,NA,21-Jun,5,52,260,0,8,0,NA,NA,1,1,2-Jun,4,22,88,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,14,bd,CM_387,CM,387,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Jun,5,4,20,0,0,2,NA,new17,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,45,bs,CM_120,CM,120,3,2-Jun,4,14,56,2,0,0,NA,NA,1,1,NA,NA,21-Jun,4,13,52,1,0,0,NA,NA,1,1,2-Jun,7,15,105,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,7,bd,CM_126,CM,126,3,2-Jun,2,3,6,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,could not find after fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,31,gh,CM_388,CM,388,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,27,108,0,0,0,NA,new16,1,1,2-Jun,5,11,55,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,32,rc,CM_139,CM,139,3,2-Jun,4,5,20,2,0,0,NA,NA,1,1,NA,NA,21-Jun,3,6,18,3,0,0,NA,NA,1,1,2-Jun,2,13,26,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,25,wc,CM_115,CM,115,3,2-Jun,6,30,180,1,0,2,NA,NA,1,1,NA,NA,21-Jun,5,37,185,0,0,0,NA,NA,1,1,2-Jun,6,26,156,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,39,wh,CM_389,CM,389,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,42,2,0,0,NA,new16,1,1,2-Jun,5,8,40,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,47,wd,CM_390,CM,390,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,56,336,1,0,0,NA,new16; stalk broken off,1,1,2-Jun,6,53,318,2,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,20,gh,CM_101,CM,101,3,2-Jun,2,69,138,7,6,3,NA,NA,1,1,NA,NA,21-Jun,7,63,441,0,0,0,NA,stalk broken off,1,1,2-Jun,5,20,100,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,21,rd,CM_391,CM,391,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,40,200,0,0,1,NA,new16; stalk broken off,1,1,2-Jun,3,27,81,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,31,yd,CM_138,CM,138,3,2-Jun,6,13,78,3,0,0,NA,NA,1,1,NA,NA,21-Jun,6,10,60,0,0,0,NA,NA,1,1,2-Jun,6,14,84,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,33,oc,CM_137,CM,137,3,2-Jun,NA,NA,NA,NA,NA,NA,NA,forgot to look for,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,could not find after fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,35,bs,CM_392,CM,392,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,13,104,2,0,0,NA,new16,1,1,2-Jun,5,16,80,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,21,bd,CM_393,CM,393,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,16,2,0,0,NA,new16,0,0,NA,NA,NA,NA,NA,NA,NA,dead17,NA,NA,NA,NA,NA,NA,NA,dead17,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,15,oh,CM_99,CM,99,3,2-Jun,7,46,322,1,0,3,NA,NA,1,1,NA,NA,21-Jun,4,22,88,1,0,0,NA,stalk broken off,1,1,2-Jun,5,7,35,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,16,rh,CM_394,CM,394,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,15,2,0,0,NA,new16,1,1,2-Jun,5,4,20,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,35,oh,CM_130,CM,130,3,2-Jun,6,10,60,4,0,0,NA,NA,1,1,NA,NA,21-Jun,5,31,155,2,0,0,NA,NA,1,1,2-Jun,5,11,55,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,40,oc,CM_395,CM,395,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13,91,2,0,0,NA,new16,1,1,2-Jun,4,16,64,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,40,os,CM_117,CM,117,3,2-Jun,5,33,165,2,6,2,NA,NA,1,1,NA,NA,21-Jun,4,40,160,1,0,0,NA,NA,1,1,2-Jun,6,22,132,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,45,rs,CM_396,CM,396,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,15,5,0,0,NA,new16,1,1,2-Jun,3,5,15,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,13,rc,CM_98,CM,98,3,2-Jun,5,4,20,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,could not find after fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,20,ws,CM_100,CM,100,3,2-Jun,6,17,102,4,0,0,NA,trap herb,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,could not find after fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,31,bh,CM_136,CM,136,3,2-Jun,3,18,54,1,0,1,NA,NA,1,1,NA,NA,21-Jun,7,12,84,5,0,1,NA,NA,1,1,2-Jun,6,21,126,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,38,ws,CM_114,CM,114,3,2-Jun,4,14,56,1,0,1,NA,stalk missing,1,1,NA,NA,21-Jun,6,9,54,3,0,0,NA,NA,1,1,2-Jun,0,8,NA,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0,ys,CM_397,CM,397,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,72,0,0,0,NA,new16,1,1,2-Jun,9,11,99,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,12,ws,CM_97,CM,97,3,2-Jun,5,7,35,0,0,0,NA,NA,1,1,NA,NA,21-Jun,5,7,35,0,0,0,NA,NA,1,1,2-Jun,8,12,96,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,30,gh,CM_113,CM,113,3,2-Jun,5,29,145,0,0,0,NA,trap herb,1,1,NA,NA,21-Jun,5,20,100,2,0,0,NA,NA,1,1,2-Jun,6,19,114,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,30,bs,CM_112,CM,112,3,2-Jun,7,3,21,3,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,could not find after fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,40,gs,CM_128,CM,128,3,2-Jun,6,4,24,3,0,0,NA,NA,1,1,NA,NA,21-Jun,4,2,8,0,0,0,NA,NA,1,1,2-Jun,3,7,21,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,41,gd,CM_129,CM,129,3,2-Jun,4,7,28,0,0,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,could not find after fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,notdone18,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
