"","site","ID","quad","size0","rep0","sur0_1","sur0_1_tp","size1","N1","L1","rep1","comm1","startyear","TSF","TBF"
"4684","CH","12","2",160,5,"1","1",380,"5","76",0,NA,"2016",7,2
"4685","CH","11","2",324,12,"0","0",NA,NA,NA,NA,"No plant","2016",7,2
"4686","CH","14","2",830,0,"1","1",324,"4","81",0,NA,"2016",7,2
"4687","CH","216","2",192,4,"0","0",NA,NA,NA,NA,"No plant","2016",7,2
"4688","CH","217","2",306,0,"1","1",256,"8","32",0,NA,"2016",7,2
"4689","CH","15","2",126,0,"1","1",126,"6","21",8,NA,"2016",7,2
"4690","CH","10","2",352,0,"1","1",168,"8","21",0,NA,"2016",7,2
"4691","CH","13","2",104,3,"1","1",555,"5","111",4,NA,"2016",7,2
"4692","CH","16","2",200,0,"1","1",NA,NA,NA,NA,"No plant","2016",7,2
"4693","CH","17","2",648,0,"1","1",4,"1","4",5,NA,"2016",7,2
"4694","CH","9","2",NA,NA,"1","1",133,"7","19",0,NA,"2016",7,2
"4695","CH","18","2",372,0,"1","1",287,"7","41",0,NA,"2016",7,2
"4696","CH","8","2",182,6,"1","1",128,"4","32",0,NA,"2016",7,2
"4697","CH","218","2",180,0,"1","1",95,"5","19",0,NA,"2016",7,2
"4698","CH","206","2",NA,NA,NA,NA,NA,NA,NA,NA,"No plant","2016",7,2
"4699","CH","205","2",285,0,"1","1",432,"6","72",0,NA,"2016",7,2
"4700","CH","220","2",125,5,"1","1",110,"5","22",0,NA,"2016",7,2
"4701","CH","219","2",171,0,"1","1",224,"7","32",0,NA,"2016",7,2
"4702","CH","19","2",135,0,"1","1",230,"5","46",0,NA,"2016",7,2
"4703","CH","20","2",115,6,"1","1",854,"7","122",0,NA,"2016",7,2
"4704","CH","21","2",69,0,"1","1",81,"3","27",0,NA,"2016",7,2
"4705","CH","18.7.","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4706","CH","5","2",216,8,"1","1",NA,NA,NA,NA,"Large hole no plant","2016",7,2
"4707","CH","23","2",11,0,"1","1",276,"12","23",0,NA,"2016",7,2
"4708","CH","22","2",119,0,"1","1",224,"7","32",0,NA,"2016",7,2
"4709","CH","6","2",540,0,"1","1",48,"4","12",0,NA,"2016",7,2
"4710","CH","7","2",720,0,"1","1",184,"4","46",0,NA,"2016",7,2
"4711","CH","32","3",240,0,"1","1",51,"3","17",0,NA,"2016",7,2
"4712","CH","26","3",390,0,"1","1",2,"1","2",6,NA,"2016",7,2
"4713","CH","35","3",37,0,"1","1",75,"3","25",0,NA,"2016",7,2
"4714","CH","29","3",372,0,"1","1",396,"8, 7","25, 28",0,NA,"2016",7,2
"4715","CH","27","3",576,0,"1","1",168,"7","24",0,NA,"2016",7,2
"4716","CH","34","3",85,0,"1","1",203,"7","29",0,NA,"2016",7,2
"4717","CH","24","3",312,0,"1","1",114,"6","19",0,"fruit stalk broke off","2016",7,2
"4718","CH","18.8.","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4719","CH","18.9.","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4720","CH","33","3",NA,NA,NA,NA,91,"7","13",0,"new17","2016",7,2
"4721","CH","25","3",84,4,"1","1",126,"3","42",2,NA,"2016",7,2
"4722","CH","30","3",245,0,"1","1",132,"6","22",0,NA,"2016",7,2
"4723","CH","244","3",NA,NA,NA,NA,84,"7","12",0,"new17","2016",7,2
"4724","CH","31","3",NA,NA,"1","1",80,"5","16",0,NA,"2016",7,2
"4725","CH","54","4",270,4,"1","1",55,"5","11",0,NA,"2016",7,2
"4726","CH","68","4",NA,NA,NA,NA,55,"5","11",7,NA,"2016",7,2
"4727","CH","55","4",198,0,"1","1",84,"6","14",9,NA,"2016",7,2
"4728","CH","53","4",72,0,"1","1",245,"5","49",0,NA,"2016",7,2
"4729","CH","36","4",120,7,"1","1",198,"9","22",0,NA,"2016",7,2
"4730","CH","67","4",243,0,"1","1",40,"5","8",9,NA,"2016",7,2
"4731","CH","52","4",133,11,"1","1",200,"8","25",0,NA,"2016",7,2
"4732","CH","51","4",119,3,"1","1",175,"5","35",0,NA,"2016",7,2
"4733","CH","65","4",168,0,"1","1",35,"5","7",0,NA,"2016",7,2
"4734","CH","37","4",253,4,"1","1",150,"6","25",0,NA,"2016",7,2
"4735","CH","38","4",209,0,"1","1",133,"7","19",4,NA,"2016",7,2
"4736","CH","63","4",168,7,"1","1",150,"6","25",8,NA,"2016",7,2
"4737","CH","39","4",105,0,"1","1",180,"10","18",0,NA,"2016",7,2
"4738","CH","41","4",66,7,"1","1",105,"7","15",0,NA,"2016",7,2
"4739","CH","64","4",208,6,"1","1",207,"9","23",4,NA,"2016",7,2
"4740","CH","45","4",224,0,"1","1",104,"4","26",0,NA,"2016",7,2
"4741","CH","69","4",287,8,"1","1",154,"7","22",0,"Stalk no fruit","2016",7,2
"4742","CH","245","4",NA,NA,NA,NA,152,"8","19",9,"new17","2016",7,2
"4743","CH","66","4",110,9,"1","1",55,"5","11",6,NA,"2016",7,2
"4744","CH","50","4",240,0,"1","1",270,"10","27",0,NA,"2016",7,2
"4745","CH","60","4",322,0,"1","1",119,"7","17",0,NA,"2016",7,2
"4746","CH","40","4",128,0,"1","1",100,"5","20",0,"Stalk no fruit","2016",7,2
"4747","CH","61","4",330,0,"1","1",225,"9","25",0,NA,"2016",7,2
"4748","CH","62","4",252,0,"1","1",36,"4","9",6,NA,"2016",7,2
"4749","CH","246","4",NA,NA,NA,NA,70,"5","14",0,"new17","2016",7,2
"4750","CH","42","4",256,0,"1","1",248,"8","31",0,NA,"2016",7,2
"4751","CH","59","4",434,0,"1","1",99,"9","11",0,NA,"2016",7,2
"4752","CH","71","4",360,0,"1","1",112,"8","14",0,"Herbivory","2016",7,2
"4753","CH","43","4",16,0,"1","1",68,"4","17",0,NA,"2016",7,2
"4754","CH","44","4",48,0,"1","1",22,"2","11",0,NA,"2016",7,2
"4755","CH","56","4",175,5,"1","1",96,"6","16",0,NA,"2016",7,2
"4756","CH","74","4",100,6,"1","1",120,"6","20",5,NA,"2016",7,2
"4757","CH","46","4",230,0,"1","1",128,"8","16",0,"Stalk no fruits","2016",7,2
"4758","CH","70","4",70,0,"1","1",52,"4","13",0,"Stalk no fruit","2016",7,2
"4759","CH","73","4",132,0,"1","1",95,"5","19",0,"Stalk no fruit","2016",7,2
"4760","CH","58","4",246,6,"1","1",60,"3","20",0,NA,"2016",7,2
"4761","CH","18.10.","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4762","CH","57","4",273,10,"1","1",152,"8","19",0,"stalk no fruit","2016",7,2
"4763","CH","47","4",120,4,"1","1",144,"9","16",0,"Stalk no fruit","2016",7,2
"4764","CH","48","4",57,12,"1","1",114,"6","19",0,"Stalk no fruit","2016",7,2
"4765","CH","49","4",160,0,"1","1",138,"6","23",0,"Stalk no fruits","2016",7,2
"4766","CH","72","4",150,0,"1","1",168,"7","24",0,"Stalk no fruits","2016",7,2
"4767","CH","75","5",114,5,"1","1",100,"5","20",4,NA,"2016",7,2
"4768","CH","79","5",175,0,"1","1",36,"3","12",0,NA,"2016",7,2
"4769","CH","207","5",285,0,"1","1",232,"4","58",0,NA,"2016",7,2
"4770","CH","78","5",190,0,"0","0",NA,NA,NA,NA,"No plant","2016",7,2
"4771","CH","77","5",344,0,"1","1",672,"6","112",0,NA,"2016",7,2
"4772","CH","85","5",145,0,"1","1",174,"6","29",0,NA,"2016",7,2
"4773","CH","80","5",664,0,"1","1",145,"5","29",6,NA,"2016",7,2
"4774","CH","76","5",124,3,"1","1",150,"5","30",0,"Stalk broken","2016",7,2
"4775","CH","82","5",112,0,"1","1",84,"4","21",0,NA,"2016",7,2
"4776","CH","83","5",324,0,"1","1",150,"6","25",0,NA,"2016",7,2
"4777","CH","81","5",342,7,"1","1",105,"5","21",0,"stalk broken","2016",7,2
"4778","CH","86","5",132,0,"1","1",130,"10","13",0,NA,"2016",7,2
"4779","CH","87","5",222,6,"1","1",125,"5","25",0,"stalk broken","2016",7,2
"4780","CH","84","5",305,0,"1","1",120,"4","30",0,NA,"2016",7,2
"4781","CH","88","5",136,7,"1","1",77,"7","11",0,NA,"2016",7,2
"4782","CH","92","5",208,8,"1","1",95,"5","19",8,NA,"2016",7,2
"4783","CH","208","5",180,0,"1","1",105,"5","21",0,NA,"2016",7,2
"4784","CH","91","5",340,0,"1","1",196,"7","28",7,NA,"2016",7,2
"4785","CH","95","5",747,0,"1","1",119,"7","17",0,NA,"2016",7,2
"4786","CH","93","5",297,0,"1","1",112,"7","16",6,NA,"2016",7,2
"4787","CH","247","5",NA,NA,NA,NA,84,"7","12",6,"new17","2016",7,2
"4788","CH","248","5",NA,NA,NA,NA,189,"9","21",0,"new17; Stalk broken","2016",7,2
"4789","CH","89","5",104,0,"1","1",145,"5","29",0,NA,"2016",7,2
"4790","CH","249","5",NA,NA,NA,NA,12,"3","4",8,"new17","2016",7,2
"4791","CH","90","5",170,0,"1","1",36,"3","12",0,NA,"2016",7,2
"4792","CH","94","5",330,6,"1","1",60,"5","12",0,"fruit stalk broken","2016",7,2
"4793","CH","222","6",423,8,"1","1",252,"6","42",0,NA,"2016",7,2
"4794","CH","250","6",NA,NA,NA,NA,48,"4","12",4,"new17","2016",7,2
"4795","CH","98","6",80,14,"1","1",240,"8","30",1,NA,"2016",7,2
"4796","CH","100","6",168,10,"1","1",133,"7","19",1,NA,"2016",7,2
"4797","CH","105","6",120,0,"1","1",540,"12","45",0,"fruit fallen off","2016",7,2
"4798","CH","101","6",140,0,"1","1",250,"5","50",0,NA,"2016",7,2
"4799","CH","103","6",144,5,"1","1",120,"6","20",0,NA,"2016",7,2
"4800","CH","251","6",NA,NA,NA,NA,60,"4","15",0,"new17","2016",7,2
"4801","CH","221","6",100,0,"1","1",114,"6","19",0,"fruit fallen off","2016",7,2
"4802","CH","99","6",245,4,"1","1",152,"8","19",0,NA,"2016",7,2
"4803","CH","96","6",132,0,"1","1",NA,NA,NA,NA,"Peg found no plant","2016",7,2
"4804","CH","97","6",154,0,"1","1",120,"12","10",0,NA,"2016",7,2
"4805","CH","104","6",162,0,"1","1",72,"3","24",0,NA,"2016",7,2
"4806","CH","102","6",100,0,"1","1",36,"4","9",0,NA,"2016",7,2
"4807","CH","18.11.","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4808","CH","107","7",210,0,"1","1",22,"1","22",0,NA,"2016",7,2
"4809","CH","224","7",217,0,"1","1",198,"6","33",0,NA,"2016",7,2
"4810","CH","223","7",220,0,"1","1",75,"5","15",0,NA,"2016",7,2
"4811","CH","115","7",355,0,"1","1",51,"3","17",0,NA,"2016",7,2
"4812","CH","106","7",NA,NA,"1","1",120,"2","60",0,NA,"2016",7,2
"4813","CH","18.12.","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4814","CH","18.13.","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4815","CH","109","7",105,0,"1","1",96,"6","16",0,NA,"2016",7,2
"4816","CH","209","7",120,0,"0","0",NA,NA,NA,NA,"Not found","2016",7,2
"4817","CH","114","7",100,0,"0","0",NA,NA,NA,NA,"Not found","2016",7,2
"4818","CH","113","7",312,0,"0","0",NA,NA,NA,NA,"Not found","2016",7,2
"4819","CH","111","7",210,0,"1","1",NA,NA,NA,NA,"Not Found","2016",7,2
"4820","CH","112","7",76,NA,"1","1",68,"4","17",0,NA,"2016",7,2
"4821","CH","108","7",54,0,"1","1",42,"2","21",0,NA,"2016",7,2
"4822","CH","110","7",105,0,"0","0",NA,NA,NA,NA,"Not found","2016",7,2
"4823","CH","116","7",60,4,"1","1",120,"6","20",0,NA,"2016",7,2
"4824","CH","118","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4825","CH","126","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4826","CH","127","8",36,0,"1","1",42,"6","7",0,NA,"2016",7,2
"4827","CH","117","8",16,0,"1","1",15,"5","3",0,NA,"2016",7,2
"4828","CH","225","8",80,0,"1","1",25,"5","5",0,NA,"2016",7,2
"4829","CH","124","8",36,0,"1","1",21,"3","7",0,NA,"2016",7,2
"4830","CH","119","8",48,0,"0","0",NA,NA,NA,NA,NA,"2016",7,2
"4831","CH","129","8",420,0,"1","1",39,"3","13",0,NA,"2016",7,2
"4832","CH","120","8",36,0,"1","1",40,"4","10",0,NA,"2016",7,2
"4833","CH","125","8",7,0,"1","1",3,"1","3",0,NA,"2016",7,2
"4834","CH","121","8",56,0,"1","1",95,"5","19",0,NA,"2016",7,2
"4835","CH","123","8",NA,NA,"1","1",18,"3","6",0,NA,"2016",7,2
"4836","CH","122","8",120,0,"0","0",NA,NA,NA,NA,"Tp there no plant found","2016",7,2
"4837","CH","128","8",96,0,"1","1",69,"3","23",0,NA,"2016",7,2
"4838","CH","130","8",38,0,"1","1",45,"5","9",0,NA,"2016",7,2
"4839","CH","131","8",132,0,"1","1",120,"6","20",0,NA,"2016",7,2
"4840","CH","252","8",NA,NA,NA,NA,64,"4","16",0,"new17","2016",7,2
"4841","CH","253","8",NA,NA,NA,NA,57,"3","19",0,"new17","2016",7,2
"4842","CH","132","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4843","CH","134","9",93,0,"1","1",105,"7","15",0,NA,"2016",7,2
"4844","CH","133","9",NA,NA,"1","1",128,"4","32",0,NA,"2016",7,2
"4845","CH","254","9",NA,NA,NA,NA,75,"5","15",0,"new17","2016",7,2
"4846","CH","138","9",100,0,"1","1",51,"3","17",0,NA,"2016",7,2
"4847","CH","228","9",40,0,"0","0",NA,NA,NA,NA,"No tp no plant","2016",7,2
"4848","CH","137","9",NA,NA,NA,NA,28,"7","4",0,"new17","2016",7,2
"4849","CH","135","9",85,3,"0","0",NA,NA,NA,NA,"no plant Hole where plant should be","2016",7,2
"4850","CH","227","9",52,0,"0","0",NA,NA,NA,NA,"No plant","2016",7,2
"4851","CH","136","9",NA,NA,NA,NA,NA,NA,NA,NA,"Toothpick Missing","2016",7,2
"4852","CH","226","9",56,0,"1","1",NA,NA,NA,NA,"No plant","2016",7,2
"4853","CH","149","9",70,0,"1","1",28,"2","14",0,"no tp","2016",7,2
"4854","CH","139","9",69,0,"1","1",70,"5","14",0,NA,"2016",7,2
"4855","CH","141","9",365,0,"0","0",NA,NA,NA,NA,"No Plant","2016",7,2
"4856","CH","142","9",65,0,"1","1",28,"2","14",0,"No TP","2016",7,2
"4857","CH","140","9",65,0,"0","0",NA,NA,NA,NA,"Missing tp","2016",7,2
"4858","CH","147","9",84,0,"1","1",NA,NA,NA,NA,"Toothpick Missing","2016",7,2
"4859","CH","148","9",48,0,"1","1",96,"4","24",0,NA,"2016",7,2
"4860","CH","144","9",45,0,"1","1",152,"8","19",0,NA,"2016",7,2
"4861","CH","146","9",46,0,"1","1",NA,NA,NA,NA,"No Plant","2016",7,2
"4862","CH","145","9",60,0,"1","1",34,"2","17",0,NA,"2016",7,2
"4863","CH","143","9",160,0,"1","1",160,"5","32",0,NA,"2016",7,2
"4864","CH","152","10",54,0,"1","1",50,"5","10",0,NA,"2016",7,2
"4865","CH","151","10",NA,NA,NA,NA,NA,NA,NA,NA,"No plant","2016",7,2
"4866","CH","229","10",112,0,"0","0",NA,NA,NA,NA,"No plant hole where plant was","2016",7,2
"4867","CH","155","10",6,0,"1","1",42,"3","14",0,NA,"2016",7,2
"4868","CH","150","10",115,0,"0","0",NA,NA,NA,NA,"No plant hole where plant was","2016",7,2
"4869","CH","154","10",264,0,"0","0",NA,NA,NA,NA,"No plant hole where plant was","2016",7,2
"4870","CH","157","10",NA,NA,NA,NA,NA,NA,NA,NA,"No tp no plant","2016",7,2
"4871","CH","210","10",80,0,"0","0",NA,NA,NA,NA,"No plant","2016",7,2
"4872","CH","156","10",144,0,"1","1",45,"3","15",0,"Extremely unhealthy","2016",7,2
"4873","CH","153","10",106,0,"1","1",168,"4","42",0,NA,"2016",7,2
"4874","CH","158","11",84,0,"1","1",30,"3","10",0,NA,"2016",7,2
"4875","CH","239","11",NA,NA,NA,NA,21,"3","7",0,"new17","2016",7,2
"4876","CH","162","11",144,0,"1","1",96,"6","16",0,NA,"2016",7,2
"4877","CH","163","11",4,4,"1","1",144,"9","16",0,NA,"2016",7,2
"4878","CH","181","11",NA,NA,NA,NA,95,"5","19",0,"new17","2016",7,2
"4879","CH","170","11",133,7,"1","1",85,"5","17",7,NA,"2016",7,2
"4880","CH","179","11",21,0,"1","1",3,"1","3",0,"Seedling","2016",7,2
"4881","CH","166","11",18,0,"1","1",112,"14","8",0,NA,"2016",7,2
"4882","CH","171","11",100,4,"1","1",126,"7","18",0,NA,"2016",7,2
"4883","CH","165","11",133,5,"1","1",147,"7","21",0,NA,"2016",7,2
"4884","CH","164","11",102,8,"1","1",45,"5","9",0,NA,"2016",7,2
"4885","CH","235","11",NA,NA,NA,NA,30,"6","5",0,"new17","2016",7,2
"4886","CH","172","11",152,7,"1","1",NA,NA,NA,NA,"No Plant","2016",7,2
"4887","CH","173","11",232,9,"1","1",108,"9","12",8,NA,"2016",7,2
"4888","CH","236","11",NA,NA,NA,NA,65,"5","13",0,"TP there but not on data sheet","2016",7,2
"4889","CH","174","11",78,4,"1","1",406,"7","58",0,NA,"2016",7,2
"4890","CH","237","11",NA,NA,NA,NA,114,"6","19",0,"new17","2016",7,2
"4891","CH","159","11",90,7,"1","1",176,"8","22",0,NA,"2016",7,2
"4892","CH","180","11",36,0,"1","1",120,"6","20",0,NA,"2016",7,2
"4893","CH","160","11",184,0,"1","1",168,"6","28",0,NA,"2016",7,2
"4894","CH","167","11",126,10,"1","1",NA,NA,NA,NA,"No plant","2016",7,2
"4895","CH","161","11",144,0,"1","1",147,"7","21",0,NA,"2016",7,2
"4896","CH","178","11",96,0,"1","1",54,"6","9",0,NA,"2016",7,2
"4897","CH","238","11",NA,NA,NA,NA,217,"7","31",0,"new17","2016",7,2
"4898","CH","18.14.","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4899","CH","176","11",60,0,"1","1",24,"2","12",0,NA,"2016",7,2
"4900","CH","168","11",180,0,"1","1",92,"4","23",0,NA,"2016",7,2
"4901","CH","177","11",198,0,"1","1",120,"6","20",0,"fruiting stem but no fruits","2016",7,2
"4902","CH","169","11",224,7,"1","1",95,"5","19",0,NA,"2016",7,2
"4903","CH","175","11",279,9,"1","1",186,"6","31",3,NA,"2016",7,2
"4904","CH","189","12",280,0,"1","1",360,"12","30",0,"Herbivory on leaves","2016",7,2
"4905","CH","190","12",429,0,"1","1",150,"5","30",0,"2 burnt traps","2016",7,2
"4906","CH","188","12",125,8,"1","1",7,"1","7",0,NA,"2016",7,2
"4907","CH","192","12",10,0,"1","1",90,"6","15",0,"All leaves burnt","2016",7,2
"4908","CH","211","12",126,3,"0","0",NA,NA,NA,NA,"No Plant","2016",7,2
"4909","CH","191","12",160,0,"0","0",NA,NA,NA,NA,"No Plant","2016",7,2
"4910","CH","212","12",90,0,"0","0",NA,NA,NA,NA,"No Plant","2016",7,2
"4911","CH","187","12",245,3,"1","1",200,"10","20",0,"Burnt fruiting Stalk","2016",7,2
"4912","CH","233","12",216,0,"0","0",NA,NA,NA,NA,"No tp no plant","2016",7,2
"4913","CH","231","12",56,0,"0","0",NA,NA,NA,NA,"No Tp no plant","2016",7,2
"4914","CH","232","12",126,0,"0","0",NA,NA,NA,NA,"No TP No Plant","2016",7,2
"4915","CH","186","12",175,4,"1","1",48,"6","8",0,"1 burnt trap burnt fruiting body","2016",7,2
"4916","CH","230","12",128,0,"1","1",40,"5","8",0,NA,"2016",7,2
"4917","CH","185","12",216,10,"0","0",NA,NA,NA,NA,"No Plant","2016",7,2
"4918","CH","214","12",432,0,"1","1",NA,NA,NA,NA,"No Plant","2016",7,2
"4919","CH","184","12",220,7,"1","1",21,"3","7",0,NA,"2016",7,2
"4920","CH","213","12",77,0,"1","1",80,"8","10",0,NA,"2016",7,2
"4921","CH","183","12",224,0,"1","1",104,"8","13",0,"Burnt fruiting Stalk","2016",7,2
"4922","CH","18.15.","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4923","CH","215","12",95,4,"1","1",144,"9","16",0,NA,"2016",7,2
"4924","CH","182","12",152,2,"1","1",40,"2","20",0,NA,"2016",7,2
"4925","CH","240","12",NA,NA,NA,NA,72,"4","18",0,"new17","2016",7,2
"4926","CH","241","13",NA,NA,NA,NA,65,"5","13",0,"new17","2016",7,2
"4927","CH","194","13",96,8,"0","0",NA,NA,NA,NA,"No Plant","2016",7,2
"4928","CH","242","13",NA,NA,NA,NA,50,"5","10",0,"new17","2016",7,2
"4929","CH","243","13",NA,NA,NA,NA,160,"8","20",0,"new17","2016",7,2
"4930","CH","199","13",228,0,"0","0",NA,NA,NA,NA,"No Plant","2016",7,2
"4931","CH","195","13",96,9,"1","1",56,"4","14",0,NA,"2016",7,2
"4932","CH","196","13",126,8,"1","1",120,"6","20",0,"broken fruiting stalk","2016",7,2
"4933","CH","18.18.","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4934","CH","18.19.","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4935","CH","197","13",900,0,"1","1",66,"6","11",0,NA,"2016",7,2
"4936","CH","198","13",144,0,"1","1",22,"2","11",0,NA,"2016",7,2
"4937","CH","200","14",72,6,"0","0",NA,NA,NA,NA,"no plant","2016",7,2
"4938","CH","204","14",NA,NA,"1","1",240,"3","80",0,NA,"2016",7,2
"4939","CH","203","14",126,0,"0","0",NA,NA,NA,NA,"no plant","2016",7,2
"4940","CH","18.16.","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4941","CH","202","14",24,5,"0","0",NA,NA,NA,NA,"no plant","2016",7,2
"4942","CH","18.17.","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",7,2
"4943","CH","201","14",72,0,"0","0",NA,NA,NA,NA,"no plant","2016",7,2
"4944","CM","37","1",NA,NA,"1","1",NA,NA,NA,NA,NA,"2016",1,3
"4945","CM","319","1",25,0,"1","1",9,"3","3",0,NA,"2016",1,3
"4946","CM","18.1.","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",1,3
"4947","CM","13","1",42,0,"1","1",72,"12","6",0,NA,"2016",1,3
"4948","CM","34","1",175,0,"1","1",NA,NA,NA,NA,"no plant grass","2016",1,3
"4949","CM","338","1",NA,NA,NA,NA,49,"7","7",0,"new17","2016",1,3
"4950","CM","28","1",18,0,"1","1",9,"3","3",0,NA,"2016",1,3
"4951","CM","39","1",40,0,"1","1",9,"3","3",0,NA,"2016",1,3
"4952","CM","32","1",192,7,"1","1",360,"8","45",0,NA,"2016",1,3
"4953","CM","27","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",1,3
"4954","CM","38","1",NA,NA,"1","1",NA,NA,NA,NA,NA,"2016",1,3
"4955","CM","339","1",NA,NA,NA,NA,35,"7","5",0,"new17","2016",1,3
"4956","CM","320","1",25,0,"1","1",81,"9","9",0,NA,"2016",1,3
"4957","CM","321","1",32,0,"1","1",60,"5","12",0,NA,"2016",1,3
"4958","CM","3","1",20,0,"1","1",132,"6","22",0,NA,"2016",1,3
"4959","CM","5","1",20,0,"1","1",104,"8","13",0,NA,"2016",1,3
"4960","CM","33","1",54,0,"1","1",156,"12","13",0,NA,"2016",1,3
"4961","CM","4","1",51,0,"1","1",176,"8","22",0,NA,"2016",1,3
"4962","CM","25","1",NA,NA,"1","1",NA,NA,NA,NA,NA,"2016",1,3
"4963","CM","322","1",24,0,"1","1",84,"6","14",0,NA,"2016",1,3
"4964","CM","40","1",12,0,"1","1",35,"7","5",0,NA,"2016",1,3
"4965","CM","29","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",1,3
"4966","CM","12","1",42,0,"1","1",143,"11","13",0,NA,"2016",1,3
"4967","CM","35","1",10,0,"1","1",42,"6","7",0,NA,"2016",1,3
"4968","CM","36","1",48,0,"1","1",35,"5","7",0,NA,"2016",1,3
"4969","CM","2","1",44,0,"1","1",198,"9","22",0,NA,"2016",1,3
"4970","CM","23","1",50,0,"1","1",28,"4","7",0,NA,"2016",1,3
"4971","CM","20","1",95,0,"1","1",NA,NA,NA,NA,"no plant at toothpick","2016",1,3
"4972","CM","22","1",42,0,"1","1",260,"13","20",0,NA,"2016",1,3
"4973","CM","323","1",NA,NA,NA,NA,81,"9","9",0,"new17","2016",1,3
"4974","CM","26","1",21,0,"1","1",99,"9","11",0,NA,"2016",1,3
"4975","CM","9","1",72,0,"1","1",84,"7","12",0,NA,"2016",1,3
"4976","CM","11","1",42,0,"1","1",63,"9","7",0,NA,"2016",1,3
"4977","CM","42","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",1,3
"4978","CM","46","1",70,0,"1","1",81,"9","9",0,NA,"2016",1,3
"4979","CM","10","1",50,0,"1","1",102,"6","17",0,NA,"2016",1,3
"4980","CM","41","1",NA,NA,"1","1",140,"10","14",0,NA,"2016",1,3
"4981","CM","324","1",36,0,"1","1",80,"10","8",0,NA,"2016",1,3
"4982","CM","14","1",20,0,"1","1",18,"2","9",0,NA,"2016",1,3
"4983","CM","19","1",15,0,"1","1",48,"8","6",0,NA,"2016",1,3
"4984","CM","43","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",1,3
"4985","CM","31","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",1,3
"4986","CM","326","1",42,0,"1","1",136,"8","17",0,NA,"2016",1,3
"4987","CM","21","1",50,0,"1","1",96,"8","12",0,NA,"2016",1,3
"4988","CM","24","1",63,0,"1","1",128,"8","16",0,NA,"2016",1,3
"4989","CM","329","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",1,3
"4990","CM","45","1",312,0,"1","1",176,"5, 2","32, 8",0,NA,"2016",1,3
"4991","CM","44","1",116,0,"1","1",32,"4","8",0,NA,"2016",1,3
"4992","CM","328","1",64,0,"1","1",56,"8","7",0,NA,"2016",1,3
"4993","CM","30","1",NA,NA,NA,NA,NA,NA,NA,NA,"no plant","2016",1,3
"4994","CM","17","1",208,0,"1","1",84,"6","14",8,NA,"2016",1,3
"4995","CM","7","1",196,0,"1","1",168,"7","24",8,NA,"2016",1,3
"4996","CM","330","1",NA,NA,NA,NA,28,"7","4",0,"new17","2016",1,3
"4997","CM","18","1",30,0,"1","1",16,"4","4",0,NA,"2016",1,3
"4998","CM","331","1",NA,NA,NA,NA,96,"6","16",0,"new17","2016",1,3
"4999","CM","332","1",49,0,"1","1",232,"8","29",0,"dead ant in one","2016",1,3
"5000","CM","47","1",42,0,"1","1",180,"10","18",0,NA,"2016",1,3
"5001","CM","48","1",36,0,"1","1",48,"3","16",0,NA,"2016",1,3
"5002","CM","50","1",64,0,"1","1",57,"3","19",0,NA,"2016",1,3
"5003","CM","1","1",230,0,"1","1",312,"12","26",0,NA,"2016",1,3
"5004","CM","6","1",18,0,"1","1",42,"6","7",0,NA,"2016",1,3
"5005","CM","333","1",NA,NA,NA,NA,176,"8","22",0,"new17","2016",1,3
"5006","CM","49","1",NA,NA,"1","1",3,"1","3",0,NA,"2016",1,3
"5007","CM","18.31.","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016",1,3
"5008","CM","8","1",NA,NA,"1","1",65,"5","13",0,NA,"2016",1,3
"5009","CM","334","1",NA,NA,NA,NA,120,"12","10",0,"new17","2016",1,3
"5010","CM","335","1",NA,NA,NA,NA,54,"9","6",0,"new17","2016",1,3
"5011","CM","336","1",NA,NA,NA,NA,80,"10","8",0,"new17","2016",1,3
