"site","ID","quad","x","y","mark","Note25","N25","L25","FR25","FLW25","Comm25","Alive25","Alive25_tpry","size25"
"B2","20.29.","20","30","22","gp","","2","46","","","not dead","1","1","92"
"B2","18.10.","20","31","16","gh","","0","","","","","1","0","0"
"B2","20.41.","20","31","16","bp","dead24","0","","","","","","","0"
"B2","20.39.","20","33","2","wp","","3","32","","","","1","1","96"
"B2","18.4.","20","33","20","wd","dead24","0","","","","","","","0"
"B2","25.5.","20","6","44","yd","","1","66","","","nail not on data sht, xy unc","1","1","66"
"B2","25.6.","20","33","3","wp","","3","40","","","nail not on data sht, xy unc","1","1","120"
"B2","223","20","34","24","bh","3ros","1","42","","","","1","1","42"
"B2","224","20","34","29","rp","2ros","0","","","","","1","0","0"
"B2","21.26.","20","35","8","od","","0","","","","","1","0","0"
"B2","18.5.","20","35","22","rh","","2","84","","","","1","1","168"
"B2","227","20","35","31","oh","","0","","","","","1","0","0"
"B2","228","20","35","48","rd","","1","56","","","","1","1","56"
"B2","22.2.","20","37","2","op","","0","","","","m25","1","0","0"
"B2","229","20","37","26","od","!unm pls U & D","1","35","","","","1","1","35"
"B2","230","20","37","38","rp","","1","26","","","","1","1","26"
"B2","231","20","38","38","bd","","4","69","","","","1","1","276"
"B2","232","20","38","45","wh","","4","66","","","","1","1","264"
"B2","23.5.","20","39","0","gd","","3","30","","","","1","1","90"
"B2","233","20","40","47","bp","!unm pls U & D","0","","","","","1","0","0"
"B2","234","20","42","15","oh","","3","28","","","was 2ros","1","1","84"
"B2","235","20","42","46","gh","","1","30","","","was 2ros","1","1","30"
"B2","20.27.","20","43","6","wp","","4","61","","","","1","1","244"
"B2","20.22.","20","43","7","bh","","0","","","","","1","0","0"
"B2","236","20","43","16","wp","2ros","3,3","59,21","","","","1","1","354"
"B2","20.38.","20","44","2","bd","","4","29","","","","1","1","116"
"B2","20.26.","20","44","5","od","","0","","","","","1","0","0"
"B2","20.37.","20","44","11","yp","dead24","0","","","","m25","","","0"
"B2","20.23.","20","45","9","gd","","4","42","","","","1","1","168"
"B2","20.33.","20","45","23","yp","dead24","0","","","","","","","0"
"B2","238","20","46","47","wd","dead24","0","","","","","","","0"
"B2","240","20","48","47","bp","","0","","","","","1","0","0"
"B2","23.6.","20","49","2","rp","dead24","0","","","","","","","0"
"B2","20.30.","20","49","17","op","dead24","0","","","","","","","0"
"B2","242","20","50","21","gh","2ros","6","84","","","qns25-50","1","1","504"
"CH","1","1","12","27","rh","pendant near here; quads 1-6 farthest from road, pend 30 cm L Q1","1","30","","","","1","1","30"
"CH","20.3.","1","25","16","wp","","0","","","","","1","0","0"
"CH","21.2.","1","26","8","bp","","0","","","","m25","1","0","0"
"CH","18.5.","1","27","5","op","","1","32","","","not dead","1","1","32"
"CH","20.1.","1","27","24","gp","","0","","","","","1","0","0"
"CH","18.4.","1","28","15","rh","","3","20","","","","1","1","60"
"CH","19.7.","1","29","3","gd","mpd23","0","","","","","","","0"
"CH","20.4.","1","30","14","gp","","0","","","","","1","0","0"
"CH","4","1","30","22","od","","0","","","","","1","0","0"
"CH","19.5.","1","32","12","rh","","1","46","","","","1","1","46"
"CH","19.6.","1","33","11","wh","dead24?","0","","","","","","","0"
"CH","24.1.","1","36","23","yd","","0","","","","m25","1","0","0"
"CH","20.2.","1","36","25","wd","","0","","","","no lvs","1","0","0"
"CH","18.3.","1","37","20","wh","","","","","","not surveyed25","1","",""
"CH","3","1","38","10","gp","","0","","","","","1","0","0"
"CH","18.2.","1","42","8","bh","","2","30","","","","1","1","60"
"CH","234","1","42","42","yd","","1","35","","","not dead","1","1","35"
"CH","19.1.","1","44","45","bh","","5","22","","","","1","1","110"
"CH","19.3.","1","45","24","yd","","0","","","","m25","1","0","0"
"CH","2","1","45","45","wh","","2","30","","","","1","1","60"
"CH","25.1.","1","30","3","bh","","5","25","","","old nail, not in file","1","1","125"
"CH","19.8.","2","5","25","wh","","0","","","","","1","0","0"
"CH","217","2","13","19","rp","","1","64","","","","1","1","64"
"CH","15","2","13","33","rp","dead24","0","","","","","","","0"
"CH","13","2","15","10","bd","mpd24","0","","","","","","","0"
"CH","16","2","16","41","oh","dead24","0","","","","","","","0"
"CH","17","2","20","46","gh","","4","10","","","","1","1","40"
"CH","9","2","21","19","op","mpd24","0","","","","m25","","","0"
"CH","18","2","21","48","yh","","2","21","","","","1","1","42"
"CH","218","2","22","26","bd","dead24","0","","","","","","","0"
"CH","19.11.","2","24","23","yh","dead24","0","","","","no lvs","","","0"
"CH","219","2","25","10","wd","2ros","4","30","","","","1","1","120"
"CH","19","2","27","20","wh","","5","40","","","","1","1","200"
"CH","2.22.1","2","28","3","bp","","2","15","","","","1","1","30"
"CH","20","2","29","45","op","","2","40","","","","1","1","80"
"CH","21","2","30","6","rh","","0","","","","m25","1","0","0"
"CH","20.6.","2","31","8","bd","dead24","0","","","","","","","0"
"CH","2.22.2","2","31","16","od","","0","","","","","1","0","0"
"CH","19.13.","2","31","19","oh","","0","","","","","1","0","0"
"CH","19.14.","2","34","20","bh","","2","20","","","","1","1","40"
"CH","19.12.","2","35","20","gh","","6","","","","","1","1","-Inf"
"CH","21.3.","2","35","29","wd","dead24","0","","","","","","","0"
"CH","5","2","36","25","yp","dead24","0","","","","","","","0"
"CH","23.3.","2","40","9","gd","","3","30","","","","1","1","90"
"CH","22","2","40","21","yh","","0","","","","m25","1","0","0"
"CH","21.4.","2","42","33","bp","dead24","0","","","","","","","0"
"CH","19.17.","2","43","6","od","disc","","","","","m25","","",""
"CH","6","2","45","18","bd","","2","8","","","","1","1","16"
"CH","7","2","47","15","rp","2ros","0","","","","m25","1","0","0"
"CH","19.15.","2","48","18","wh","","0","","","","m25","1","0","0"
"CH","23.1.","2","49","20","yp","","5","18","","","","1","1","90"
"CH","23.2.","2","50","20","rd","","","","","","qns25-50, not surveyed","1","",""
"CH","32","3","1","26","od","","3","51","","","","1","1","153"
"CH","26","3","12","10","yh","","3","27","","","","1","1","81"
"CH","20.8.","3","24","23","gd","","3","29","","","","1","1","87"
"CH","29","3","24","28","bh","","3","58","","","tp was bp","1","1","174"
"CH","27","3","25","18","oh","","4","69","","","","1","1","276"
"CH","34","3","25","21","yd","","1","39","","","","1","1","39"
"CH","24","3","27","1","rh","","1","61","","","","1","1","61"
"CH","24.2.","3","27","18","yf","","3","18","","","","1","1","54"
"CH","19.18.","3","28","18","gh","","2","27","","","","1","1","54"
"CH","21.5.","3","29","25","rd","","2","32","","","","1","1","64"
"CH","20.10.","3","30","9","op","dead24","0","","","","","","","0"
"CH","19.21.","3","30","15","yh","","1","24","","","","1","1","24"
"CH","18.8.","3","31","12","bh","","0","","","","m25","1","0","0"
"CH","18.9.","3","32","12","wh","","1","26","","","","1","1","26"
"CH","19.19.","3","32","19","wp","","5","19","","","","1","1","95"
"CH","33","3","32","23","bh","dead24","0","","","","","","","0"
"CH","19.26.","3","35","9","gd","","0","","","","new lvs","1","1","0"
"CH","19.24.","3","35","10","rd","","4","23","","","","1","1","92"
"CH","22.6.","3","36","2","gd2","dead24","0","","","","","","","0"
"CH","19.25.","3","37","10","yd","","3","24","","","","1","1","72"
"CH","23.5.","3","38","2","wd","","0","","","","","1","0","0"
"CH","22.2.","3","39","3","yd","","0","","","","","1","0","0"
"CH","22.5.","3","39","7","op","1ros","1","20","","","was 2 ros","1","1","20"
"CH","25","3","40","1","rh","","1","19","","","","1","1","19"
"CH","22.9.","3","40","2","gf","dead24","0","","","","","","","0"
"CH","23.6.","3","40","3","yf","","0","","","","m25","1","0","0"
"CH","23.7.","3","40","3","yd","dead24","0","","","","","","","0"
"CH","22.1.","3","40","4","wd","","1","44","","","","1","1","44"
"CH","24.11.","3","42","2","yf","","0","","","","","1","0","0"
"CH","24.10.","3","43","2","op","","0","","","","","1","0","0"
"CH","24.12.","3","44","2","bf","","2","22","","","","1","1","44"
"CH","22.4.","3","44","9","bf","","1","21","","","","1","1","21"
"CH","24.4.","3","45","3","rf","","0","","","","","1","0","0"
"CH","23.12.","3","45","13","gf","","2","18","","","","1","1","36"
"CH","23.11.","3","45","14","bp","","2","14","","","","1","1","28"
"CH","23.10.","3","45","15","wd","","","","","","not surveyed25","1","",""
"CH","24.3.","3","45","20","od","","2","14","","","","1","1","28"
"CH","30","3","45","23","bd","","2","92","","","","1","1","184"
"CH","24.5.","3","46","3","bp","","0","","","","","1","0","0"
"CH","22.3.","3","46","10","wf","2ros","0","","","","","1","0","0"
"CH","23.13.","3","46","14","rf","","1","23","","","not dead","1","1","23"
"CH","24.6.","3","47","3","oh","dead25","","","","","","0","0",""
"CH","23.14.","3","47","14","yf","dead24","0","","","","","","","0"
"CH","23.15.","3","47","14","bf","","1","8","","","","1","1","8"
"CH","23.4.","3","48","5","rd","","6","33","","","","1","1","198"
"CH","24.7.","3","48","5","yh","","0","","","","","1","0","0"
"CH","19.23.","3","48","14","gp","2ros","5,4","17,23","","","","1","1","207"
"CH","244","3","49","2","gd","","3","14","","","not dead","1","1","42"
"CH","24.9.","3","49","4","wp","","0","","","","","1","0","0"
"CH","24.8.","3","49","5","gf","","0","","","","","1","0","0"
"CH","31","3","49","33","yh","","1","14","","","qs25-50, no new","1","1","14"
"CH","25.2.","3","25","24","yh","","2","34","","","nail not in file","1","1","68"
"CH","25.3.","3","28","25","bf","","2","23","","","missed","1","1","46"
"CH","54","4","15","16","rh","","3","12","","","","1","1","36"
"CH","55","4","16","21","wh","","0","","","","m25","1","0","0"
"CH","36","4","19","3","rh","","5","7","","","","1","1","35"
"CH","67","4","19","35","wh","","1","10","","","","1","1","10"
"CH","52","4","20","14","wh","","0","","","","m25","1","0","0"
"CH","51","4","22","10","yd","","1","10","","","","1","1","10"
"CH","65","4","23","28","gh","","2","23","","","","1","1","46"
"CH","37","4","24","1","oh","","1","25","","","","1","1","25"
"CH","38","4","25","1","bd","","0","","","","m25","1","0","0"
"CH","22.10.","4","25","7","bf","","3","20","","","","1","1","60"
"CH","63","4","25","28","rh","","4","15","","","","1","1","60"
"CH","22.12.","4","26","5","rf","","0","","","","m25","1","0","0"
"CH","41","4","26","7","rh","","3","40","","","","1","1","120"
"CH","22.11.","4","27","7","gf","","1","6","","","","1","1","6"
"CH","24.13.","4","27","14","ud","","0","","","","m25","1","0","0"
"CH","64","4","27","32","od","!unm pl, 2ros","4,2","30,20","","","2ros","1","1","180"
"CH","45","4","29","12","bh","","2","28","","","","1","1","56"
"CH","69","4","29","44","wh","","0","","","","m25","1","0","0"
"CH","66","4","31","33","oh","","3","25","","","","1","1","75"
"CH","50","4","32","17","wh","2ros","4,4","23,17","","","","1","1","184"
"CH","60","4","32","26","yh","","0","","","","m25","1","0","0"
"CH","40","4","33","1","oh","","3","31","","","","1","1","93"
"CH","19.28.","4","33","23","rh","","0","","","","m25","1","0","0"
"CH","61","4","33","28","bh","","4","30","","","","1","1","120"
"CH","62","4","33","32","wh","","3","30","","","inf broken","1","1","90"
"CH","246","4","33","38","od","","6","17","","","","1","1","102"
"CH","20.12.","4","36","14","wp","","6","22","","","","1","1","132"
"CH","20.11.","4","36","16","yp","","1","23","","","","1","1","23"
"CH","19.29.","4","36","20","od","","4","33","","","","1","1","132"
"CH","59","4","37","25","gh","","5","28","","","","1","1","140"
"CH","43","4","38","9","rh","","2","12","","","","1","1","24"
"CH","20.13.","4","39","16","od","","39","20","","","","1","1","780"
"CH","71","4","39","23","bh","","4","15","","","","1","1","60"
"CH","44","4","40","5","yh","","6","45","","","not dead","1","1","270"
"CH","56","4","40","38","bh","","4","15","","","","1","1","60"
"CH","74","4","41","0","od","","3","20","","","","1","1","60"
"CH","71.099999999999994","4","41","22","gd","","3","10","","","","1","1","30"
"CH","46","4","43","14","gh","","0","","","","no lvs","1","0","0"
"CH","70","4","43","42","yh","!unm pl D","4","20","","","","1","1","80"
"CH","73","4","43","49","rh","","4","14","","","","1","1","56"
"CH","58","4","44","31","gd","","3","33","","","","1","1","99"
"CH","18.10.","4","45","20","wh","","0","","","","m25","1","0","0"
"CH","57","4","46","27","wd","","2","30","","","","1","1","60"
"CH","58.1","4","46","31","oh","","4","23","","","","1","1","92"
"CH","47","4","47","13","rh","","0","","","","m25","1","0","0"
"CH","48","4","47","19","oh","","2","20","","","","1","1","40"
"CH","19.27.","4","48","17","wp","","3","15","","","","1","1","45"
"CH","72","4","48","49","gh","","0","","","","m25","1","0","0"
"CH","49","4","49","16","bd","dead24","0","","","","qns25-50","","","0"
"CH","222","6","0","25","rd","!unm pl L","3","15","","","","1","1","45"
"CH","250","6","1","17","wd","!unm pl R","4","52","","","","1","1","208"
"CH","98","6","2","23","bh","!unm pl D","2","40","","","","1","1","80"
"CH","100","6","2","34","op","","3","12","","","not dead","1","1","36"
"CH","19.35.","6","3","12","bh","","1","17","","","","1","1","17"
"CH","105","6","5","25","yd","was 2ros","5","35","","","","1","1","175"
"CH","101","6","7","32","bd","","3","15","","","","1","1","45"
"CH","103","6","8","36","yd","","6","29","","","","1","1","174"
"CH","251","6","9","2","oh","","0","","","","m25","1","0","0"
"CH","221","6","9","5","wh","dead25, pull nail","","","","","","0","0",""
"CH","99","6","16","15","oh","","0","","","","","1","0","0"
"CH","20.19.","6","18","26","bd","","0","","","","","1","0","0"
"CH","97","6","24","8","yh","","3","31","","","not dead","1","1","93"
"CH","96","6","25","7","oh","","1","25","","","not deda","1","1","25"
"CH","20.18.","6","25","26","gp","","4","17","","","","1","1","68"
"CH","22.22.","6","30","20","od","","2","12","","","","1","1","24"
"CH","102","6","35","41","yh","mpd24","0","","","","m25","","","0"
"CH","20.17.","6","38","21","rd","","3","15","","","","1","1","45"
"CH","20.20.","6","41","16","gd","","3","10","","","","1","1","30"
"CH","22.23.","6","42","11","op","dead25, pull nail","","","","","","0","0",""
"CH","18.11.","6","42","22","bd","","3","8","","","","1","1","24"
"CH","19.36.","6","44","20","wh","","4","26","","","","1","1","104"
"CH","22.21.","6","45","25","rp","dead24","0","","","","","","","0"
"CH","20.15.","6","49","24","yp","","0","","","","m25","1","0","0"
"CH","20.16.","6","50","21","od","","2","8","","","qns25-50","1","1","16"
"CH","107","7","9","8","op","quad7-10 closest to road; dead24","0","","","","","","","0"
"CH","224","7","24","8","yd","","2","21","4","0","","1","1","42"
"CH","115","7","29","20","wp","","15","31","8","0","","1","1","465"
"CH","106","7","30","31","rh","","0","","","","","1","0","0"
"CH","18.12.","7","32","10","rp","","1","23","8","0","","1","1","23"
"CH","19.42.","7","32","14","oh","","7","22","4","0","","1","1","154"
"CH","24.14.","7","32","19","rd","","3","56","0","","","1","1","168"
"CH","19.41.","7","35","15","gh","","0","","","","","1","0","0"
"CH","23.16.","7","35","23","wd","","2","22","","","","1","1","44"
"CH","18.13.","7","37","25","rh","","0","","","","","1","0","0"
"CH","109","7","40","16","bp","","1","25","","","","1","1","25"
"CH","112","7","41","38","oh","","1","72","","","","1","1","72"
"CH","108","7","42","15","yd","!sm pls","12","25","","","","1","1","300"
"CH","19.43.","7","44","0","yh","","0","","","","m25","1","0","0"
"CH","116","7","45","8","wh","","7","24","","","","1","1","168"
"CH","19.39.","7","48","16","rh","dead24","0","","","","","","","0"
"CH","19.40.","7","49","14","oh","","6","18","","","","1","1","108"
"CH","19.44.","8","20","28","wh","disc","","","","","","","",""
"CH","21.8.","8","35","18","gp","disc","","","","","","","",""
"CH","254","9","9","45","wh","disc","","","","","","","",""
"CH","138","9","16","45","oh","disc","","","","","","","",""
"CH","144","9","42","31","od","disc","","","","","","","",""
"CH","145","9","46","11","bh","disc","","","","","","","",""
"CH","155","10","13","29","rh","disc","","","","","","","",""
"CH","239","11","5","23","rh","quads 11-13 mid block","12","12","","","","1","1","144"
"CH","162","11","5","27","bh","","5","14","","","","1","1","70"
"CH","163","11","8","38","wp","","5","24","","","","1","1","120"
"CH","166","11","16","29","bd","2ros","11","21","","","","1","1","231"
"CH","171","11","20","20","op","","2","30","","","","1","1","60"
"CH","165","11","20","31","yp","","7","22","","","","1","1","154"
"CH","164","11","22","35","gh","","3","18","","","","1","1","54"
"CH","235","11","25","45","bd","","3","26","","","","1","1","78"
"CH","173","11","25","50","bd","","0","","","","","1","0","0"
"CH","236","11","26","0","wp","","0","","","","","1","0","0"
"CH","174","11","27","27","yp","","2","11","","","","1","1","22"
"CH","237","11","28","0","yd","","0","","","","","1","0","0"
"CH","159","11","30","5","oh","","5","38","","","","1","1","190"
"CH","160","11","30","10","wp","","0","","","","m25","1","0","0"
"CH","180","11","30","21","gh","","1","3","","","","1","1","3"
"CH","167","11","31","30","gd","dead24","0","","","","","","","0"
"CH","161","11","33","8","gh","","0","","","","","1","0","0"
"CH","178","11","34","20","gp","","6","18","","","","1","1","108"
"CH","238","11","35","5","bh","","5","28","","","","1","1","140"
"CH","19.51.","11","40","5","yh","","6","24","","","not dead","1","1","144"
"CH","18.14.","11","40","9","rh","","4","16","","","","1","1","64"
"CH","176","11","40","25","oh","","0","","","","","1","0","0"
"CH","168","11","40","30","bp","","5","17","","","","1","1","85"
"CH","177","11","41","23","yd","","5","21","","","","1","1","105"
"CH","169","11","42","18","oh","","8","25","","","","1","1","200"
"CH","175","11","45","32","gp","","2","14","","","not dead","1","1","28"
"CH","19.49.","11","46","21","yp","","5","12","","","not dead, qns25-50","1","1","60"
"CH","189","12","1","15","wh","","10","23","","","","1","1","230"
"CH","190","12","2","20","yh","","2","14","","","not dead","1","1","28"
"CH","192","12","5","45","gp","","11","28","","","","1","1","308"
"CH","187","12","13","18","oh","","7","24","","","","1","1","168"
"CH","186","12","19","7","yh","","9","12","","","","1","1","108"
"CH","230","12","22","20","rh","","1","32","","","","1","1","32"
"CH","214","12","30","30","wh","2ros","11,11","20,12","","","","1","1","440"
"CH","213","12","32","44","bp","dead24","0","","","","","","","0"
"CH","183","12","32","45","gd","","8","18","","","","1","1","144"
"CH","18.15.","12","33","14","wh","dead24","0","","","","","","","0"
"CH","184","12","33","33","oh","","6","23","","","not dead","1","1","138"
"CH","215","12","37","20","rd","","0","","","","new lvs","1","1","0"
"CH","182","12","39","10","yd","","5","22","","","","1","1","110"
"CH","22.24.","12","40","3","bd","","0","","","","","1","0","0"
"CH","240","12","40","12","gh","","1","11","","","","1","1","11"
"CH","19.57.","12","42","23","rh","","1","27","","","","1","1","27"
"CH","19.54.","12","48","10","rh","","4","25","","","qns25-50","1","1","100"
"CH","241","13","18","12","od","","7","25","","","","1","1","175"
"CH","195","13","28","19","od","","6","25","","","","1","1","150"
"CH","196","13","38","20","rh","","8","16","","","","1","1","128"
"CH","18.18.","13","43","1","wh","","2","29","","","","1","1","58"
"CH","18.19.","13","47","12","yh","","3","19","","","","1","1","57"
"CH","197","13","49","14","bd","","7","25","","","qns25-50","1","1","175"
"CH","25.4.","13","14","10","bd","","3","9","","","missed","1","1","27"
"CM","24.13.","1","0","42","wd","CM in genl qs y=0-25","1","5","","","","1","1","5"
"CM","24.8.","1","3","28","bd","","2","17","","","oldy=16","1","1","34"
"CM","24.7.","1","3","23","yp","","3","10","","","","1","1","30"
"CM","24.4.","1","5","8","bp","quad remapped 2024","4","8","","","","1","1","32"
"CM","24.9.","1","8","31","op","","3","10","","","oldx=5","1","1","30"
"CM","24.10.","1","5","38","rp","","5","12","","","","1","1","60"
"CM","24.24.","1","6","9","wd","","0","","","","m25","1","0","0"
"CM","24.14.","1","6","49","wf","","3","15","","","","1","1","45"
"CM","24.11.","1","8","39","wd","","2","17","","","","1","1","34"
"CM","24.12.","1","8","41","bh","","2","10","","","","1","1","20"
"CM","24.6.","1","10","18","rp","","4","12","","","","1","1","48"
"CM","24.5.","1","10","19","gh","","0","","","","","1","0","0"
"CM","24.15.","1","14","48","rp","","2","16","","","","1","1","32"
"CM","24.16.","1","15","40","gd","","0","","","","","1","0","0"
"CM","24.19.","1","18","9","rd","","4","10","","","","1","1","40"
"CM","24.17.","1","19","34","gd","","3","13","","","","1","1","39"
"CM","24.18.","1","20","28","wh","","2","10","","","","1","1","20"
"CM","24.22.","1","24","14","yh","","5","10","","","tp was yp","1","1","50"
"CM","24.20.","1","27","41","gd","","5","12","","","","1","1","60"
"CM","24.31.","1","30","21","gd","in sphag","2","13","","","","1","1","26"
"CM","24.23.","1","31","12","od","","6","8","","","","1","1","48"
"CM","24.21.","1","31","30","wp","","1","18","","","+1 imm inf","1","1","18"
"CM","24.26.","1","33","10","gd","","1","10","","","","1","1","10"
"CM","24.32.","1","33","22","rh","","2","16","","","","1","1","32"
"CM","24.37.","1","33","43","rp","","4","15","","","","1","1","60"
"CM","24.27.","1","34","13","rh","mark L of pl","6","10","","","","1","1","60"
"CM","24.36.","1","35","34","gf","","0","","","","","1","0","0"
"CM","24.25.","1","36","7","op","","3","7","","","","1","1","21"
"CM","24.35.","1","36","33","rp","","3","6","","","","1","1","18"
"CM","24.28.","1","39","15","rh","mark L of pl","6","10","","","","1","1","60"
"CM","24.33.","1","41","32","oh","","2","11","","","","1","1","22"
"CM","24.34.","1","42","32","bp","","4","35","","","","1","1","140"
"CM","24.30.","1","44","12","wf","","3","9","","","","1","1","27"
"CM","24.29.","1","45","13","rd","in sphag","4","15","","","","1","1","60"
"CM","24.38.","1","45","43","gh","","6","15","","","","1","1","90"
"CM","24.39.","1","47","43","wp","","4","14","","","qns25-50","1","1","56"
"CM","25.1.","1","22","27","rf","","3","10","","","missed","1","1","30"
"CM","25.2.","1","30","25","yd","","4","13","","","missed","1","1","52"
"CM","25.3.","1","42","17","of","in sphag","4","7","","","missed","1","1","28"
"CM","25.4.","1","44","15","bd","in sphag","3","9","","","missed","1","1","27"
"CM","25.5.","1","46","13","rd","in sphag","3","20","","","missed","1","1","60"
"CM","24.48.","2","1","35","wd","","9","13","","","","1","1","117"
"CM","24.46.","2","2","27","wd","","4","8","","","","1","1","32"
"CM","24.45.","2","3","27","gf","","2","11","","","","1","1","22"
"CM","24.41.","2","4","12","wp","","0","","","","1 imm leaf","1","1","0"
"CM","24.47.","2","4","32","rd","","1","7","","","","1","1","7"
"CM","24.44.","2","5","26","od","","0","","","","","1","0","0"
"CM","24.49.","2","5","32","yd","","1","6","","","","1","1","6"
"CM","24.50.","2","5","41","od","","4","10","","","","1","1","40"
"CM","24.40.","2","8","10","op","quad remapped 2024","1","10","","","","1","1","10"
"CM","24.54.","2","11","5","gp","","0","","","","","1","0","0"
"CM","24.42.","2","11","23","yf","","4","6","","","","1","1","24"
"CM","24.43.","2","11","26","bd","","0","","","","1 imm leaf","1","1","0"
"CM","24.52.","2","16","31","wp","","0","","","","1 imm leaf","1","1","0"
"CM","24.53.","2","19","20","wd","","","","","","not surveyed25","1","",""
"CM","24.57.","2","19","20","bd","","2","7","","","oldy=21","1","1","14"
"CM","24.51.","2","19","41","od","","5","16","","","tp was ph","1","1","80"
"CM","24.56.","2","20","20","yd","","2","18","","","","1","1","36"
"CM","24.58.","2","20","25","rp","","1","9","","","","1","1","9"
"CM","24.59.","2","21","30","od","","2","10","","","","1","1","20"
"CM","24.65.","2","22","48","od","","3","10","","","","1","1","30"
"CM","24.64.","2","23","38","bh","","11","2","","","oldy=93?","1","1","22"
"CM","24.62.","2","24","30","gp","","0","","","","","1","0","0"
"CM","24.92.","2","25","24","rd","","4","7","","","","1","1","28"
"CM","24.61.","2","28","30","rd","","3","11","","","","1","1","33"
"CM","24.60.","2","29","25","yd","","2","17","","","","1","1","34"
"CM","24.66.","2","29","48","wp","","0","","","","","1","0","0"
"CM","24.74.","2","30","30","yd","","0","","","","m25","1","0","0"
"CM","24.63.","2","30","37","bp","","5","12","","","","1","1","60"
"CM","24.55.","2","31","15","bp","","4","14","","","","1","1","56"
"CM","24.76.","2","31","25","wp","","0","","","","","1","0","0"
"CM","24.67.","2","31","47","rf","","0","","","","","1","0","0"
"CM","24.91.","2","32","11","bp","","5","7","","","","1","1","35"
"CM","24.80.","2","35","50","gp","","0","","","","m25","1","0","0"
"CM","24.85.","2","36","27","od","","0","","","","","1","0","0"
"CM","24.75.","2","36","35","oh","","2","7","","","","1","1","14"
"CM","24.68.","2","36","45","wf","","4","8","","","","1","1","32"
"CM","24.87.","2","39","10","rd","","2","44","","","","1","1","88"
"CM","24.84.","2","39","25","gd","","0","","","","","1","0","0"
"CM","24.73.","2","40","35","gp","","3","12","","","oldy=31","1","1","36"
"CM","24.83.","2","40","28","op","","1","8","","","oldy=33","1","1","8"
"CM","24.72.","2","40","40","wp","","6","18","","","","1","1","108"
"CM","24.90.","2","41","7","od","","5","14","","","","1","1","70"
"CM","24.82.","2","41","34","yd","","0","","","","2 imm lvs","1","1","0"
"CM","24.89.","2","42","7","rh","","2","5","","","","1","1","10"
"CM","24.71.","2","40","42","rd","","4","7","","","x=42, y=40","1","1","28"
"CM","24.70.","2","44","40","od","","0","","","","m25, same pl?","1","0","0"
"CM","24.79.","2","44","47","gd","","5","10","","","","1","1","50"
"CM","24.88.","2","45","10","yd","","6","20","","","","1","1","120"
"CM","24.86.","2","47","20","wf","","1","25","","","","1","1","25"
"CM","24.78.","2","49","44","yp","","4","11","","","","1","1","44"
"CM","24.77.","2","49","45","bf","","3","8","","","qns25-50","1","1","24"
"CM","21.1.","2","46","37","oh","","5","10","","","old nail not in sheet, same pl?","1","1","50"
"CM","25.6.","2","48","35","wd","","3","16","","","old nail not in sheet","1","1","48"
"CM","25.7.","2","50","37","gf","","2","7","","","old nail not in sheet","1","1","14"
"CM","463","6","0","8","bd","UR of UR spike Qd6","3","29","","","oldy=11","1","1","87"
"CM","277","6","1","49","yf","","3","19","","","tp was yh","1","1","57"
"CM","274","6","2","38","bf","","3","30","","","tp was bh","1","1","90"
"CM","242","6","3","15","rf","","4","15","","","tp was rp","1","1","60"
"CM","497","6","5","27","yp","","5","16","","","oldx=4","1","1","80"
"CM","498","6","4","30","rh","","3","17","","","","1","1","51"
"CM","263","6","5","12","rd","","6","17","","","tp was rh","1","1","102"
"CM","503","6","5","22","gp","","6","27","","","","1","1","162"
"CM","505","6","5","42","bd","","4","25","","","","1","1","100"
"CM","237","6","7","3","wd","","3","27","","","","1","1","81"
"CM","508","6","7","36","yd","","0","","","","new lvs","1","1","0"
"CM","509","6","7","48","wd","","9","27","","","","1","1","243"
"CM","510","6","8","0","bd","","1","15","","","tp was bp","1","1","15"
"CM","24.3.","6","8","2","rf","","2","11","","","","1","1","22"
"CM","239","6","8","5","gp","","4","13","","","","1","1","52"
"CM","464","6","10","18","bp","","4","16","","","","1","1","64"
"CM","465","6","10","42","op","dead25, pull nail","","","","","","0","0",""
"CM","246","6","12","15","gf","","3","29","","","tp was gd","1","1","87"
"CM","466","6","12","28","bh","","4","24","","","Under Pinguicula","1","1","96"
"CM","236","6","13","4","wp","","8","26","","","inf herb","1","1","208"
"CM","467","6","13","12","od","","5","15","","","","1","1","75"
"CM","272","6","13","22","op","","3","21","","","","1","1","63"
"CM","468","6","13","28","rh","dead25","","","","","","0","0",""
"CM","469","6","14","23","yp","","3","17","","","tp was yh","1","1","51"
"CM","470","6","15","32","yd","","3","26","","","","1","1","78"
"CM","471","6","16","14","bh","","2","20","","","","1","1","40"
"CM","472","6","16","37","od","","3","17","","","","1","1","51"
"CM","245","6","17","5","bd","","4","21","","","oldy=8","1","1","84"
"CM","473","6","17","20","wd","","2","5","","","","1","1","10"
"CM","475","6","18","46","wp","","1","12","","","not dead","1","1","12"
"CM","262","6","19","15","rd","","5","29","","","","1","1","145"
"CM","22.3.","6","20","42","bd","","3","21","","","","1","1","63"
"CM","478","6","22","14","gf","","4","23","","","tp was gd","1","1","92"
"CM","480","6","16","30","yd","","2","21","","","oldx=23,oldy=40, same plt?","1","1","42"
"CM","482","6","25","10","bh","","2","22","","","","1","1","44"
"CM","271","6","25","27","bp","","3","20","","","","1","1","60"
"CM","22.4.","6","26","6","rd","mpd24","0","","","","","","","0"
